Date,petaling,hulu-langat,gombak,klang,kuala-selangor,sepang,kuala-langat,sabak-bernam,hulu-selangor
18/4/2020,120,130,45,69,6,23,3,8,10
19/4/2020,120,130,45,69,6,23,3,8,10
20/4/2020,120,130,45,69,6,23,3,8,10
21/4/2020,106,96,27,51,6,16,7,4,7
22/4/2020,106,96,27,51,6,16,7,4,7
23/4/2020,106,96,27,51,6,16,7,4,7
24/4/2020,106,96,27,51,6,16,7,4,7
25/4/2020,106,96,27,51,6,16,7,4,7
26/4/2020,106,96,27,51,6,16,7,4,7
27/4/2020,44,72,18,29,1,7,7,3,5
28/4/2020,46,72,14,20,1,3,7,3,1
29/4/2020,37,66,14,15,1,3,7,2,1
30/4/2020,38,62,26,15,1,3,6,2,1
1/5/2020,38,50,40,16,1,3,6,2,1
2/5/2020,43,49,77,18,14,3,6,2,1
3/5/2020,39,48,87,18,12,3,6,2,1
4/5/2020,39,48,87,18,12,3,6,2,1
5/5/2020,51,45,89,13,13,1,4,2,1
6/5/2020,48,45,86,14,13,1,4,2,2
7/5/2020,49,57,84,14,13,1,0,1,3
8/5/2020,53,55,80,15,13,1,0,1,3
9/5/2020,60,32,71,15,13,1,0,1,9
10/5/2020,60,32,71,15,13,1,0,1,9
11/5/2020,60,32,71,15,13,1,0,1,9
12/5/2020,60,31,35,11,3,1,0,1,9
13/5/2020,61,31,28,11,3,1,0,2,9
14/5/2020,62,29,18,11,1,1,0,2,8
15/5/2020,54,39,17,11,1,1,0,3,8
16/5/2020,48,39,12,11,0,1,0,3,8
17/5/2020,48,39,12,11,0,1,0,3,8
18/5/2020,48,39,12,11,0,1,0,3,8
19/5/2020,48,39,12,11,0,1,0,3,8
20/5/2020,48,39,12,11,0,1,0,3,8
21/5/2020,48,39,12,11,0,1,0,3,8
22/5/2020,48,39,12,11,0,1,0,3,8
23/5/2020,48,39,12,11,0,1,0,3,8
24/5/2020,48,39,12,11,0,1,0,3,8
25/5/2020,48,39,12,11,0,1,0,3,8
26/5/2020,48,39,12,11,0,1,0,3,8
27/5/2020,48,39,12,11,0,1,0,3,8
28/5/2020,48,39,12,11,0,1,0,3,8
29/5/2020,31,123,16,5,11,40,20,0,16
30/5/2020,23,125,16,5,6,40,20,0,16
31/5/2020,12,99,11,2,10,64,20,0,14
1/6/2020,12,99,11,2,10,64,20,0,14
2/6/2020,11,99,9,2,2,66,20,0,13
3/6/2020,11,99,9,2,2,66,20,0,13
4/6/2020,11,99,9,2,2,66,20,0,13
5/6/2020,7,82,6,2,2,62,22,0,8
6/6/2020,7,82,6,2,2,62,22,0,8
7/6/2020,7,82,6,2,2,62,22,0,8
8/6/2020,7,82,6,2,2,62,22,0,8
9/6/2020,7,82,6,2,2,62,22,0,8
10/6/2020,7,82,6,2,2,62,22,0,8
11/6/2020,7,82,6,2,2,62,22,0,8
12/6/2020,7,82,6,2,2,62,22,0,8
13/6/2020,7,82,6,2,2,62,22,0,8
14/6/2020,1,9,5,1,1,8,10,3,0
15/6/2020,1,9,5,1,2,9,10,3,0
16/6/2020,1,9,5,2,2,7,10,3,0
17/6/2020,1,9,5,2,6,7,10,3,0
18/6/2020,1,9,5,2,6,7,10,3,0
19/6/2020,1,9,4,2,6,7,8,3,0
20/6/2020,1,8,4,2,7,8,1,3,0
21/6/2020,0,8,4,1,7,7,1,2,0
22/6/2020,0,8,4,1,7,5,1,2,1
23/6/2020,0,8,4,1,7,5,1,2,1
24/6/2020,0,9,4,1,7,5,1,2,1
25/6/2020,,,,,,,,,
26/6/2020,0,2,2,1,6,5,1,2,1
27/6/2020,0,2,2,1,6,5,1,0,1
28/6/2020,0,2,2,1,6,7,1,0,1
29/6/2020,1,2,2,1,5,6,1,0,1
30/6/2020,1,2,2,0,5,6,1,0,1
1/7/2020,1,2,2,0,1,6,1,0,1
2/7/2020,1,1,2,0,1,6,1,0,1
3/7/2020,1,1,1,0,1,6,1,0,1
4/7/2020,1,1,1,0,0,4,0,0,1
5/7/2020,1,1,1,0,0,2,0,0,1
6/7/2020,1,1,2,0,0,2,0,0,0
7/7/2020,1,1,2,0,0,3,0,0,0
8/7/2020,1,0,2,0,0,3,0,0,0
9/7/2020,1,0,2,0,0,3,0,0,0
10/7/2020,1,0,2,0,0,3,0,0,0
11/7/2020,1,0,1,0,0,5,0,0,0
12/7/2020,1,0,1,0,0,11,0,0,0
13/7/2020,1,0,1,0,0,11,0,0,0
14/7/2020,0,0,1,0,0,11,0,0,0
15/7/2020,0,0,2,0,0,11,0,0,0
16/7/2020,0,0,2,0,0,11,0,0,0
17/7/2020,0,0,2,0,0,12,0,0,0
18/7/2020,0,0,2,0,0,12,0,0,0
19/7/2020,0,0,3,0,0,13,0,0,0
20/7/2020,0,0,2,0,0,13,0,0,0
