petaling ,PJ,SGR
hulu langat ,HL,SGR
gombak,GBK,SGR
klang,KG,SGR
kuala selangor,KUS,SGR
sepang,SPG,SGR
kuala langat,KLG,SGR
sabak bernam,SBM,SGR
hulu selangor,HS,SGR
cheras,CHR,KUL
kepong,KPG,KUL
lembah pantai,LPT,KUL
titiwangsa,TTW,KUL
batu pahat,BP,JHR
johor bahru,JB,JHR
kluang,KLU,JHR
kulai,KLI,JHR
mersing,MRS,JHR
muar,MUR,JHR
pontian,PTN,JHR
segamat,SGT,JHR
kota tinggi,KTG,JHR
tangkak,TKK,JHR
baling,BAL,KDH
kota setar,KST,KDH
kuala muda,KUM,KDH
kubang pasu,KBP,KDH
kulim,KLM,KDH
langkawi,LGK,KDH
padang terap,PTP,KDH
pendang,PDG,KDH
bandar bahru,BDB,KDH
sik,SK,KDH
yan,YN,KDH
bachok,BCK,KTN
gua musang,GMG,KTN
kota bharu,KBH,KTN
tanah merah,TMH,KTN
kuala krai,KUK,KTN
pasir mas,PAM,KTN
pasir putih,PAP,KTN
tumpat,TPT,KTN
jeli,JEL,KTN
machang,MCG,KTN
alor gajah,ALG,MLK
jasin,JSN,MLK
melaka tengah,MTH,MLK
jelebu,JLB,NSN 
jempol,JPL,NSN 
kuala pilah,KPH,NSN 
port dickson,PDK,NSN 
rembau,RMB,NSN 
seremban,SRB,NSN 
tampin,TMP,NSN 
bentong,BTG,PHG
jerantut,JTT,PHG
bera,BRA,PHG
raub,RB,PHG
lipis,LPS,PHG
cameron,CMR,PHG
kuantan,KTN,PHG
maran,MRN,PHG
pekan,PKN,PHG
temerloh,TMH,PHG
rompin,RPN,PHG
seberang perai tengah,SBT,PNG
timur laut,TLT,PNG
seberang perai selatan,SPS,PNG
barat daya,BDY,PNG
seberang perai utara,SPU,PNG
hillir perak,HPK,PRK
kinta,KT,PRK
perak tengah,PTH,PRK
larut matang selama,LMS,PRK
manjung,MJG,PRK
kuala kangsar,KKR,PRK
hulu perak,HPK,PRK
kerian,KER,PRK
batang padang,BPG,PRK
muallim,MLM,PRK
kampar,KPR,PRK
besut,BST,TRG
dungun,DGN,TRG
kemaman,KMM,TRG
kuala terengganu,KTG,TRG
marang,MRG,TRG
kuala nerus,KNS,TRG
setiu,SET,TRG
hulu terengganu,HTG,TRG
beaufort,BEA,SBH
kinabatangan,KBT,SBH
kot belud,KBD,SBH
kota kinabalu,KKB,SBH
kunak,KNK,SBH
lahad datu,LDT,SBH
papar,PPR,SBH
putatan,PTT,SBH
sandakan,SDK,SBH
semporna,SPN,SBH
sipitang,SPT,SBH
tawau,TWU,SBH
ranau,RNU,SBH
tuaran,TAR,SBH
keningau,KNG,SBH
kota marudu,KDD,SBH
kudat,KDT,SBH
nabawan,NBW,SBH
pitas,PTS,SBH
tambunan,TBN,SBH
tenom,TNM,SBH
penampang,PPG,SBH
kuala penyu,KPY,SBH
tongod,TGD,SBH
beluran,BLR,SBH
kuching,KUC,SWK
kota samarahan,KSH,SWK
limbang,LBG,SWK
serian,SRA,SWK
miri,MIR,SWK
sarikei,SRK,SWK
bintulu,BTL,SWK
simunjan,SMJ,SWK
mukah,MKH,SWK
betong,BTG,SWK
lawas,LWS,SWK
sibu,SIB,SWK
meradong,MRD,SWK
pakan,PAK,SWK
tatau,TTU,SWK
selangau,SLG,SWK
kapit,KAP,SWK
sri aman,SAM,SWK
asajaya,AJY,SWK
baram,BRM,SWK
bau,BAU,SWK
belaga,BLG,SWK
dalat,DLT,SWK
daro,DRO,SWK
julau,JLU,SWK
kanowit,KNW,SWK
lundu,LUD,SWK
matu,MAT,SWK
song,SNG,SWK
saratok,SRT,SWK
lubok antu,LBA,SWK
terbedu,TBD,SWK
tanjung manis,TMS,SWK
