date,state_name,total_infected,total_recovered,deaths,active_cases
2020-09-17,kuala-lumpur,2625,2607,18,0
2020-09-17,selangor,2199,2173,24,2
2020-09-17,johor,752,731,21,0
2020-09-17,kedah,305,213,3,89
2020-09-17,kelantan,160,157,3,0
2020-09-17,melaka,262,254,5,3
2020-09-17,negeri-sembilan,1043,1035,8,0
2020-09-17,pahang,371,364,7,0
2020-09-17,pulau-pinang,139,133,2,4
2020-09-17,perak,269,263,6,0
2020-09-17,perlis,33,31,2,0
2020-09-17,sabah,937,483,8,446
2020-09-17,sarawak,700,678,19,3
2020-09-17,terengganu,114,113,1,0
2020-09-17,labuan,23,23,0,0
2020-09-17,putrajaya,99,98,1,0
