date,petaling,hulu langat,gombak,klang,kuala selangor,sepang,kuala langat,sabak bernam,hulu selangor
16/4/2020,173,131,57,77,9,30,1,9,11
17/4/2020,134,133,51,78,7,23,3,9,10
18/4/2020,120,130,45,69,6,23,3,8,10
19/4/2020,111,106,43,69,6,19,3,6,10
20/4/2020,111,106,33,68,6,17,6,6,7
21/4/2020,106,96,27,51,6,16,7,4,7
22/4/2020,107,81,19,44,6,12,7,3,6
23/4/2020,81,88,19,44,6,11,7,3,6
24/4/2020,63,101,18,44,6,9,7,3,5
25/4/2020,63,100,17,44,6,7,7,3,5
26/4/2020,52,85,21,44,6,7,7,3,5
27/4/2020,44,72,18,29,1,7,7,3,5
28/4/2020,46,72,14,20,1,3,7,3,1
29/4/2020,37,66,14,15,1,3,7,2,1
30/4/2020,38,62,26,15,1,3,6,2,1
1/5/2020,38,50,40,16,1,3,6,2,1
2/5/2020,43,49,77,18,14,3,6,2,1
3/5/2020,39,48,87,18,12,3,6,2,1
4/5/2020,52,47,94,13,13,3,6,2,1
5/5/2020,51,45,89,13,13,1,4,2,1
6/5/2020,48,45,86,14,13,1,4,2,2
7/5/2020,49,57,84,14,13,1,0,1,3
8/5/2020,53,55,80,15,13,1,0,0,3
9/5/2020,60,32,71,15,13,1,0,0,9
10/5/2020,60,32,71,15,13,1,0,1,9
11/5/2020,59,31,55,15,13,1,0,1,11
12/5/2020,61,31,35,11,3,1,0,1,9
13/5/2020,61,31,28,11,3,1,0,2,9
14/5/2020,62,29,18,11,1,1,0,2,8
15/5/2020,54,39,17,11,1,1,0,3,8
16/5/2020,48,39,12,11,0,1,0,3,8
17/5/2020,49,33,14,11,0,1,0,3,8
18/5/2020,50,33,14,11,7,1,0,3,8
19/5/2020,29,30,16,7,8,1,0,3,7
20/5/2020,28,35,17,6,8,1,0,3,11
21/5/2020,22,35,19,6,8,5,0,3,11
22/5/2020,25,45,20,5,8,5,0,3,11
23/5/2020,26,70,21,4,9,6,0,3,11
24/5/2020,26,104,21,4,9,11,0,3,15
25/5/2020,26,124,22,4,9,40,0,3,16
26/5/2020,27,124,22,5,9,40,0,3,16
27/5/2020,29,124,22,5,9,40,0,3,16
28/5/2020,30,123,20,5,10,40,0,0,16
29/5/2020,31,123,16,5,11,40,20,0,16
30/5/2020,23,125,16,5,6,40,20,0,16
31/5/2020,23,126,17,6,4,64,20,0,16
1/6/2020,20,116,17,7,5,64,20,0,12
2/6/2020,20,116,17,4,4,66,20,0,12
3/6/2020,17,115,12,4,5,66,20,0,12
4/6/2020,17,112,12,4,5,66,20,0,7
5/6/2020,17,109,13,4,4,66,22,0,7
6/6/2020,17,111,12,4,4,64,11,0,7
7/6/2020,18,91,13,5,4,66,12,1,7
8/6/2020,18,91,13,5,4,68,12,1,7
9/6/2020,18,85,13,5,4,68,12,1,7
10/6/2020,18,76,13,3,3,68,12,1,7
11/6/2020,18,79,13,3,3,68,12,1,2
12/6/2020,13,62,15,1,4,68,12,1,2
13/6/2020,7,62,13,1,4,37,11,3,2
14/6/2020,7,11,12,1,4,12,11,3,2
15/6/2020,3,9,12,1,4,13,11,3,0
16/6/2020,3,9,12,2,4,13,11,3,0
17/6/2020,3,8,10,2,7,13,11,3,0
