date,alor gajah,jasin,melaka tengah
18/4/2020,16,46,32
19/4/2020,16,46,32
20/4/2020,16,46,32
21/4/2020,10,39,60
22/4/2020,10,39,60
23/4/2020,10,39,60
24/4/2020,10,39,60
25/4/2020,10,39,60
26/4/2020,10,39,60
27/4/2020,5,16,49
28/4/2020,4,15,48
29/4/2020,4,15,48
30/4/2020,4,18,8
1/5/2020,3,14,7
2/5/2020,3,14,7
3/5/2020,5,12,5
4/5/2020,5,12,5
5/5/2020,4,9,5
6/5/2020,5,8,5
7/5/2020,5,7,5
8/5/2020,5,7,5
9/5/2020,5,7,5
10/5/2020,6,7,4
11/5/2020,6,7,4
12/5/2020,6,6,5
13/5/2020,8,6,4
14/5/2020,8,6,5
15/5/2020,9,3,5
16/5/2020,8,3,5
17/5/2020,8,3,5
18/5/2020,8,3,5
19/5/2020,8,3,5
20/5/2020,8,3,5
21/5/2020,8,3,5
22/5/2020,8,3,5
23/5/2020,8,3,5
24/5/2020,8,3,5
25/5/2020,8,3,5
26/5/2020,8,3,5
27/5/2020,8,3,5
28/5/2020,8,3,5
29/5/2020,1,1,1
30/5/2020,0,0,2
31/5/2020,1,0,3
1/6/2020,1,0,3
2/6/2020,1,0,3
3/6/2020,1,0,3
4/6/2020,1,0,3
5/6/2020,1,0,3
6/6/2020,1,0,3
7/6/2020,1,0,3
8/6/2020,1,0,3
9/6/2020,1,0,3
10/6/2020,1,0,3
11/6/2020,1,0,3
12/6/2020,1,0,3
13/6/2020,1,0,3
14/6/2020,0,0,4
15/6/2020,1,0,4
16/6/2020,1,0,4
17/6/2020,1,0,4
18/6/2020,1,0,4
19/6/2020,1,0,3
20/6/2020,1,0,3
21/6/2020,1,0,4
22/6/2020,1,0,4
23/6/2020,1,0,4
24/6/2020,1,0,4
25/6/2020,1,0,4
26/6/2020,1,0,4
27/6/2020,1,0,2
28/6/2020,1,0,1
29/6/2020,0,0,1
30/6/2020,0,0,1
1/7/2020,0,0,1
2/7/2020,0,0,1
3/7/2020,0,0,1
4/7/2020,0,0,1
5/7/2020,0,0,0
6/7/2020,0,0,0
7/7/2020,0,0,0
8/7/2020,0,0,0
9/7/2020,0,0,0
10/7/2020,0,0,0
11/7/2020,0,0,0
12/7/2020,0,0,0
13/7/2020,1,0,0
14/7/2020,1,0,0
15/7/2020,1,0,0
16/7/2020,1,0,0
17/7/2020,1,0,0
18/7/2020,1,0,0
19/7/2020,1,0,0
20/7/2020,1,0,0
21/7/2020,1,0,0
22/7/2020,1,0,0
23/7/2020,1,0,0
24/7/2020,1,0,0
25/7/2020,1,0,0
26/7/2020,1,0,0
27/7/2020,0,0,0
28/7/2020,0,0,0
29/7/2020,0,0,0
30/7/2020,0,0,0
31/7/2020,0,0,0
1/8/2020,0,0,0
2/8/2020,0,0,0
3/8/2020,0,0,0
4/8/2020,0,0,0
5/8/2020,0,0,0
6/8/2020,0,0,0
7/8/2020,0,0,0
8/8/2020,0,0,0
9/8/2020,0,0,1
10/8/2020,0,0,1
11/8/2020,0,0,1
12/8/2020,0,0,1
13/8/2020,0,0,1
14/8/2020,0,0,1
15/8/2020,0,0,1
16/8/2020,0,0,1
17/8/2020,0,0,1
18/8/2020,0,0,1
19/8/2020,0,0,1
20/8/2020,0,0,1
21/8/2020,0,0,1
22/8/2020,0,0,1
23/8/2020,0,0,1
24/8/2020,0,0,0
25/8/2020,0,0,0
26/8/2020,0,0,0
27/8/2020,2,0,0
28/8/2020,2,0,0
29/8/2020,2,0,0
30/8/2020,2,0,0
31/8/2020,2,0,0
1/9/2020,2,0,0
2/9/2020,2,0,0
3/9/2020,2,0,0
4/9/2020,2,0,0
5/9/2020,2,0,0
6/9/2020,2,0,0
7/9/2020,2,0,0
8/9/2020,2,0,0
9/9/2020,2,0,0
10/9/2020,0,0,0
11/9/2020,0,0,0
12/9/2020,0,0,0
13/9/2020,0,0,0
14/9/2020,0,0,0
15/9/2020,0,0,0
16/9/2020,0,0,0
17/9/2020,0,0,0
18/9/2020,0,0,0
19/9/2020,0,0,0
20/9/2020,0,0,0
21/9/2020,0,0,0
22/9/2020,0,0,0
23/9/2020,0,0,0
