date,total_tests,total_infected,total_recovered,deaths,active_cases,respiratory_aid,icu,restriction
24/01/2020,,0,0,0,0,0,0,0
25/01/2020,,3,0,0,3,0,0,0
26/01/2020,,4,0,0,4,0,0,0
27/01/2020,,4,0,0,4,0,0,0
28/01/2020,,4,0,0,4,0,0,0
29/01/2020,,7,0,0,7,0,0,0
30/01/2020,,8,0,0,8,0,0,0
31/01/2020,,8,0,0,8,0,0,0
01/02/2020,,8,0,0,8,0,0,0
02/02/2020,,8,0,0,8,0,0,0
03/02/2020,,8,0,0,8,0,0,0
04/02/2020,,10,0,0,10,0,0,0
05/02/2020,,12,1,0,11,0,0,0
06/02/2020,,12,1,0,11,0,0,0
07/02/2020,,12,1,0,11,0,0,0
08/02/2020,,16,2,0,14,0,0,0
09/02/2020,,16,3,0,13,0,0,0
10/02/2020,,18,3,0,15,0,0,0
11/02/2020,,18,3,0,15,0,0,0
12/02/2020,,18,3,0,15,0,0,0
13/02/2020,,19,3,0,16,0,0,0
14/02/2020,,19,7,0,12,0,0,0
15/02/2020,,22,7,0,15,0,0,0
16/02/2020,,22,8,0,14,0,0,0
17/02/2020,,22,9,0,13,0,0,0
18/02/2020,,22,11,0,11,0,0,0
19/02/2020,,22,15,0,7,0,0,0
20/02/2020,,22,17,0,5,0,0,0
21/02/2020,,22,17,0,5,0,0,0
22/02/2020,,22,17,0,5,0,0,0
23/02/2020,,22,18,0,4,0,0,0
24/02/2020,,22,20,0,2,0,0,0
25/02/2020,,22,20,0,2,0,0,0
26/02/2020,,22,20,0,2,0,0,0
27/02/2020,,23,22,0,1,0,0,0
28/02/2020,,23,22,0,1,0,0,0
29/02/2020,,25,22,0,3,0,0,0
01/03/2020,949,29,22,0,7,0,0,0
02/03/2020,,29,22,0,7,0,0,0
03/03/2020,,36,22,0,14,0,0,0
04/03/2020,1138,50,22,0,28,0,0,0
05/03/2020,1174,50,22,0,28,0,0,0
06/03/2020,,83,22,0,61,0,0,0
07/03/2020,,93,23,0,70,0,0,0
08/03/2020,,99,24,0,75,2,2,0
09/03/2020,,117,24,0,93,2,2,0
10/03/2020,1616,129,25,0,104,2,2,0
11/03/2020,,149,26,0,123,2,2,0
12/03/2020,,158,32,0,126,3,3,0
13/03/2020,2028,197,32,0,165,4,4,0
14/03/2020,2260,238,35,0,203,5,5,0
15/03/2020,,428,42,0,386,9,9,0
16/03/2020,3910,554,42,0,511,12,12,0
17/03/2020,2399,674,49,2,622,12,12,0
18/03/2020,3156,791,60,2,728,15,15,3
19/03/2020,3617,900,75,2,823,20,20,3
20/03/2020,3682,1030,87,2,941,26,26,3
21/03/2020,4112,1183,114,4,1065,23,37,3
22/03/2020,4601,1306,139,10,1157,22,46,3
23/03/2020,4601,1518,159,14,1345,27,57,3
24/03/2020,,1624,183,16,1425,27,64,3
25/03/2020,,1796,199,19,1578,34,45,3
26/03/2020,5119,2031,215,23,1793,32,45,3
27/03/2020,6421,2161,259,26,1876,34,54,3
28/03/2020,7426,2320,320,27,1973,54,73,3
29/03/2020,37674,2470,388,34,2048,52,73,3
30/03/2020,39663,2626,479,37,2110,62,94,3
31/03/2020,40483,2766,537,43,2186,60,94,3
01/04/2020,43462,2908,645,45,2218,66,102,3
02/04/2020,45378,3116,767,50,2299,54,105,3
03/04/2020,47723,3333,827,53,2453,54,108,3
04/04/2020,49570,3483,915,57,2511,50,99,3
05/04/2020,51937,3662,1005,61,2596,48,99,3
06/04/2020,55566,3793,1241,62,2490,54,102,3
07/04/2020,52485,3963,1321,63,2579,50,92,3
08/04/2020,58240,4119,1487,65,2567,45,76,3
09/04/2020,63367,4228,1608,67,2553,43,72,3
