date,total_tests,total_infected,total_recovered,deaths,active_cases,respiratory_aid,icu
2020-01-24,,0,0,0,0,0,0
2020-01-25,,3,0,0,3,0,0
2020-01-26,,4,0,0,4,0,0
2020-01-27,,4,0,0,4,0,0
2020-01-28,,4,0,0,4,0,0
2020-01-29,,7,0,0,7,0,0
2020-01-30,,8,0,0,8,0,0
2020-01-31,,8,0,0,8,0,0
2020-02-01,,8,0,0,8,0,0
2020-02-02,,8,0,0,8,0,0
2020-02-03,,8,0,0,8,0,0
2020-02-04,,10,0,0,10,0,0
2020-02-05,,12,1,0,11,0,0
2020-02-06,,12,1,0,11,0,0
2020-02-07,,12,1,0,11,0,0
2020-02-08,,16,2,0,14,0,0
2020-02-09,,16,3,0,13,0,0
2020-02-10,,18,3,0,15,0,0
2020-02-11,,18,3,0,15,0,0
2020-02-12,,18,3,0,15,0,0
2020-02-13,,19,3,0,16,0,0
2020-02-14,,19,7,0,12,0,0
2020-02-15,,22,7,0,15,0,0
2020-02-16,,22,8,0,14,0,0
2020-02-17,,22,9,0,13,0,0
2020-02-18,,22,11,0,11,0,0
2020-02-19,,22,15,0,7,0,0
2020-02-20,,22,17,0,5,0,0
2020-02-21,,22,17,0,5,0,0
2020-02-22,,22,17,0,5,0,0
2020-02-23,,22,18,0,4,0,0
2020-02-24,,22,20,0,2,0,0
2020-02-25,,22,20,0,2,0,0
2020-02-26,,22,20,0,2,0,0
2020-02-27,,23,22,0,1,0,0
2020-02-28,,23,22,0,1,0,0
2020-02-29,,25,22,0,3,0,0
2020-03-01,949.0,29,22,0,7,0,0
2020-03-02,,29,22,0,7,0,0
2020-03-03,,36,22,0,14,0,0
2020-03-04,1138.0,50,22,0,28,0,0
2020-03-05,1174.0,50,22,0,28,0,0
2020-03-06,,83,22,0,61,0,0
2020-03-07,,93,23,0,70,0,0
2020-03-08,,99,24,0,75,2,2
2020-03-09,,117,24,0,93,2,2
2020-03-10,1616.0,129,25,0,104,2,2
2020-03-11,,149,26,0,123,2,2
2020-03-12,,158,32,0,126,3,3
2020-03-13,2028.0,197,32,0,165,4,4
2020-03-14,2260.0,238,35,0,203,5,5
2020-03-15,,428,42,0,386,9,9
2020-03-16,3910.0,553,42,0,511,12,12
2020-03-17,2399.0,673,49,2,622,12,12
2020-03-18,3156.0,790,60,2,728,15,15
2020-03-19,3617.0,900,75,2,823,20,20
2020-03-20,3682.0,1030,87,2,941,26,26
2020-03-21,4112.0,1183,114,4,1065,23,37
2020-03-22,4601.0,1306,139,10,1157,22,46
2020-03-23,4601.0,1518,159,14,1345,27,57
2020-03-24,,1624,183,16,1425,27,64
2020-03-25,,1796,199,19,1578,34,45
2020-03-26,5119.0,2031,215,23,1793,32,45
2020-03-27,6421.0,2161,259,26,1876,34,54
2020-03-28,7426.0,2320,320,27,1973,54,73
2020-03-29,37674.0,2470,388,34,2048,52,73
2020-03-30,39663.0,2626,479,37,2110,62,94
2020-03-31,40483.0,2766,537,43,2186,60,94
2020-04-01,43462.0,2908,645,45,2218,66,102
2020-04-02,45378.0,3116,767,50,2299,54,105
2020-04-03,47723.0,3333,827,53,2453,54,108
2020-04-04,49570.0,3483,915,57,2511,50,99
2020-04-05,51937.0,3662,1005,61,2596,48,99
2020-04-06,55566.0,3793,1241,62,2490,54,102
2020-04-07,52485.0,3963,1321,63,2579,50,92
2020-04-08,58240.0,4119,1487,65,2567,45,76
2020-04-09,63367.0,4228,1608,67,2553,43,72
2020-04-10,67951.0,4346,1830,70,2446,40,69
2020-04-11,71897.0,4530,1995,73,2462,38,72
2020-04-12,77491.0,4683,2108,76,2499,37,66
2020-04-13,81730.0,4817,2276,77,2464,34,66
2020-04-14,84791.0,4987,2478,82,2427,33,60
2020-04-15,87183.0,5072,2647,83,2342,32,56
2020-04-16,,5182,2766,84,2332,29,56
2020-04-17,96695.0,5251,2967,86,2198,26,51
2020-04-18,100794.0,5305,3102,88,2115,26,49
2020-04-19,103892.0,5389,3197,89,2103,26,46
2020-04-20,108216.0,5425,3295,89,2041,28,45
2020-04-21,,5482,3349,92,2041,27,43
2020-04-22,113755.0,5532,3452,93,1987,25,43
2020-04-23,117406.0,5603,3542,95,1966,21,42
2020-04-24,121722.0,5691,3663,96,1932,18,41
2020-04-25,126970.0,5742,3762,98,1882,16,36
2020-04-26,131491.0,5780,3862,98,1820,15,36
2020-04-27,138898.0,5820,3957,99,1764,17,37
2020-04-28,146799.0,5851,4032,100,1719,17,36
2020-04-29,154203.0,5945,4087,100,1758,18,40
2020-04-30,160296.0,6002,4171,102,1729,14,36
2020-05-01,168784.0,6071,4210,103,1758,14,37
2020-05-02,184213.0,6176,4326,103,1747,12,31
2020-05-03,195833.0,6298,4413,105,1780,13,27
2020-05-04,205598.0,6353,4484,105,1764,13,28
2020-05-05,213220.0,6383,4567,106,1710,8,24
2020-05-06,227436.0,6428,4702,107,1619,9,22
2020-05-07,237013.0,6467,4776,107,1584,8,19
2020-05-08,245102.0,6535,4864,107,1564,7,18
2020-05-09,256937.0,6589,4929,108,1552,6,18
2020-05-10,266048.0,6656,5025,108,1523,6,18
2020-05-11,271721.0,6726,5113,109,1504,7,20
2020-05-12,280061.0,6742,5223,109,1410,3,16
2020-05-13,,6779,5281,111,1387,4,16
2020-05-14,297342.0,6819,5351,112,1356,4,16
2020-05-15,424306.0,6855,5439,112,1304,5,14
2020-05-16,434136.0,6872,5512,113,1247,5,13
2020-05-17,443263.0,6894,5571,113,1210,7,13
2020-05-18,,6941,5615,113,1213,6,13
2020-05-19,462257.0,6978,5646,114,1218,6,11
2020-05-20,471318.0,7009,5706,114,1189,7,11
2020-05-21,481411.0,7059,5796,114,1149,7,10
2020-05-22,491729.0,7137,5859,115,1163,5,9
2020-05-23,500469.0,7185,5912,115,1158,5,9
2020-05-24,507682.0,7245,5945,115,1185,4,9
2020-05-25,513370.0,7417,5979,115,1323,4,8
2020-05-26,519944.0,7604,6041,115,1448,5,8
2020-05-27,,7619,6083,115,1421,4,8
2020-05-28,530501.0,7629,6169,115,1345,4,8
2020-05-29,537894.0,7732,6235,115,1382,2,8
2020-05-30,546368.0,7762,6330,115,1317,2,9
2020-05-31,553183.0,7819,6353,115,1351,2,9
2020-06-01,560738.0,7857,6404,115,1338,2,8
