date,state_name,total_infected,total_recovered,deaths,active_cases
17/9/2020,kuala-lumpur,2625,2607,18,0
17/9/2020,selangor,2199,2173,24,2
17/9/2020,johor,752,731,21,0
17/9/2020,kedah,305,213,3,89
17/9/2020,kelantan,160,157,3,0
17/9/2020,melaka,262,254,5,3
17/9/2020,negeri-sembilan,1043,1035,8,0
17/9/2020,pahang,371,364,7,0
17/9/2020,pulau-pinang,139,133,2,4
17/9/2020,perak,269,263,6,0
17/9/2020,perlis,33,31,2,0
17/9/2020,sabah,937,483,8,446
17/9/2020,sarawak,700,678,19,3
17/9/2020,terengganu,114,113,1,0
17/9/2020,labuan,23,23,0,0
17/9/2020,putrajaya,99,98,1,0
26/9/2020,kuala-lumpur,2658,2640,18,0
26/9/2020,selangor,2224,2168,24,32
26/9/2020,johor,755,734,21,0
26/9/2020,kedah,352,281,4,67
26/9/2020,kelantan,161,157,3,1
26/9/2020,melaka,263,257,5,1
26/9/2020,negeri-sembilan,1047,1034,8,5
26/9/2020,pahang,373,364,7,2
26/9/2020,pulau-pinang,142,135,2,5
26/9/2020,perak,269,263,6,0
26/9/2020,perlis,33,31,2,0
26/9/2020,sabah,1546,808,11,727
26/9/2020,sarawak,704,681,19,4
26/9/2020,terengganu,116,113,1,2
26/9/2020,labuan,26,26,0,0
26/9/2020,putrajaya,99,98,1,0
28/9/2020,kuala-lumpur,2665,2645,18,2
28/9/2020,selangor,2246,2203,24,19
28/9/2020,johor,757,731,21,5
28/9/2020,kedah,353,285,4,64
28/9/2020,kelantan,161,157,3,1
28/9/2020,melaka,265,258,5,2
28/9/2020,negeri-sembilan,1048,1036,8,4
28/9/2020,pahang,377,364,7,6
28/9/2020,pulau-pinang,142,135,2,5
28/9/2020,perak,269,263,6,0
28/9/2020,perlis,33,31,2,0
28/9/2020,sabah,1769,924,10,835
28/9/2020,sarawak,706,681,19,6
28/9/2020,terengganu,117,114,1,2
28/9/2020,labuan,27,27,0,0
28/9/2020,putrajaya,99,98,1,0
29/9/2020,kuala-lumpur,2666,2646,18,2
29/9/2020,selangor,2261,2194,24,43
29/9/2020,johor,759,731,21,7
29/9/2020,kedah,354,295,4,55
29/9/2020,kelantan,162,158,3,1
29/9/2020,melaka,266,257,5,4
29/9/2020,negeri-sembilan,1048,1035,8,5
29/9/2020,pahang,377,364,7,6
29/9/2020,pulau-pinang,143,137,2,4
29/9/2020,perak,270,264,6,0
29/9/2020,perlis,34,31,2,1
29/9/2020,sabah,1842,944,10,888
29/9/2020,sarawak,709,685,19,5
29/9/2020,terengganu,117,113,1,3
29/9/2020,labuan,27,27,0,0
29/9/2020,putrajaya,100,99,1,0
30/9/2020,kuala-lumpur,2672,2652,18,2
30/9/2020,selangor,2271,2194,24,53
30/9/2020,johor,767,731,21,15
30/9/2020,kedah,367,296,5,66
30/9/2020,kelantan,164,157,3,4
30/9/2020,melaka,266,257,5,4
30/9/2020,negeri-sembilan,1049,1036,8,5
30/9/2020,pahang,379,364,7,8
30/9/2020,pulau-pinang,144,137,2,5
30/9/2020,perak,271,261,6,4
30/9/2020,perlis,36,31,2,3
30/9/2020,sabah,1877,978,11,888
30/9/2020,sarawak,713,682,19,12
30/9/2020,terengganu,120,116,1,3
30/9/2020,labuan,28,27,0,1
30/9/2020,putrajaya,100,99,1,0
1/10/2020,kuala-lumpur,2686,2665,18,3
1/10/2020,selangor,2284,2176,24,84
1/10/2020,johor,772,731,21,20
1/10/2020,kedah,465,300,6,159
1/10/2020,kelantan,164,157,3,4
1/10/2020,melaka,267,257,5,5
1/10/2020,negeri-sembilan,1049,1036,8,5
1/10/2020,pahang,380,364,7,9
1/10/2020,pulau-pinang,145,138,2,5
1/10/2020,perak,271,263,6,2
1/10/2020,perlis,38,31,2,5
1/10/2020,sabah,1995,937,13,1045
1/10/2020,sarawak,713,682,19,12
1/10/2020,terengganu,122,113,1,6
1/10/2020,labuan,28,27,0,1
1/10/2020,putrajaya,105,100,1,4
2/10/2020,kuala-lumpur,2687,2665,18,4
2/10/2020,selangor,2315,2194,24,97
2/10/2020,johor,773,731,21,21
2/10/2020,kedah,594,306,6,282
2/10/2020,kelantan,166,157,3,6
2/10/2020,melaka,267,258,5,4
2/10/2020,negeri-sembilan,1051,1036,8,7
2/10/2020,pahang,381,364,7,10
2/10/2020,pulau-pinang,145,138,2,5
2/10/2020,perak,274,266,6,2
2/10/2020,perlis,38,33,2,3
2/10/2020,sabah,2108,1027,13,1068
2/10/2020,sarawak,713,682,19,12
2/10/2020,terengganu,125,113,1,11
2/10/2020,labuan,29,27,0,2
2/10/2020,putrajaya,105,100,1,4
3/10/2020,kuala-lumpur,2691,2669,18,4
3/10/2020,selangor,2347,2186,24,137
3/10/2020,johor,777,731,21,25
3/10/2020,kedah,696,313,6,377
3/10/2020,kelantan,168,157,3,8
3/10/2020,melaka,267,257,5,5
3/10/2020,negeri-sembilan,1052,1036,8,8
3/10/2020,pahang,381,264,7,10
3/10/2020,pulau-pinang,148,140,2,6
3/10/2020,perak,274,263,6,5
3/10/2020,perlis,38,31,2,5
3/10/2020,sabah,2263,1034,14,1215
3/10/2020,sarawak,716,682,19,15
3/10/2020,terengganu,134,113,1,20
3/10/2020,labuan,29,28,0,1
3/10/2020,putrajaya,107,102,1,4
4/10/2020,kuala-lumpur,2694,2672,18,4
4/10/2020,selangor,2378,2194,24,160
4/10/2020,johor,785,731,21,33
4/10/2020,kedah,809,328,6,475
4/10/2020,kelantan,169,157,3,9
