date,jelebu,jempol,kuala-pilah,port-dickson,rembau,seremban,tampin
24/3/2020,1,1,3,5,12,76,11
25/3/2020,1,1,3,5,20,80,13
26/3/2020,1,3,3,5,20,87,13
27/3/2020,1,3,3,5,21,92,13
28/3/2020,1,3,3,5,26,101,14
29/3/2020,1,4,3,6,26,108,14
30/3/2020,1,4,3,6,26,118,14
31/3/2020,1,4,3,6,33,119,15
1/4/2020,1,5,3,6,35,124,15
2/4/2020,1,6,4,6,35,139,16
3/4/2020,1,6,4,7,36,141,16
4/4/2020,1,6,4,7,40,146,16
5/4/2020,1,7,4,7,40,156,16
6/4/2020,1,7,4,7,41,162,17
7/4/2020,1,9,4,9,47,174,17
8/4/2020,1,9,6,9,48,180,17
9/4/2020,1,9,6,9,51,188,17
10/4/2020,2,9,6,9,52,197,17
11/4/2020,2,9,6,9,53,213,17
12/4/2020,2,11,6,9,53,219,18
13/4/2020,2,12,6,9,53,260,18
14/4/2020,2,12,6,9,53,261,19
15/4/2020,2,12,6,9,53,262,19
16/4/2020,2,12,6,9,53,288,19
17/4/2020,2,12,6,9,53,301,19
18/4/2020,2,12,6,9,53,304,19
19/4/2020,2,12,6,9,53,304,19
20/4/2020,2,12,6,9,53,308,19
21/4/2020,2,12,6,9,53,308,19
22/4/2020,2,12,6,9,53,310,19
23/4/2020,2,12,6,9,53,320,19
24/4/2020,2,12,6,9,53,332,19
25/4/2020,2,12,6,9,53,332,19
26/4/2020,2,13,6,9,53,332,19
27/4/2020,2,13,6,9,53,333,19
28/4/2020,2,13,6,9,54,333,19
29/4/2020,2,13,6,9,54,333,19
30/4/2020,2,14,6,9,57,317,19
1/5/2020,2,14,6,9,57,317,19
2/5/2020,2,14,6,10,59,322,19
3/5/2020,2,14,6,10,59,343,19
4/5/2020,2,14,6,10,59,343,19
5/5/2020,2,14,6,10,59,343,19
6/5/2020,2,14,6,10,61,348,19
7/5/2020,2,14,6,10,61,348,19
8/5/2020,2,14,6,10,113,349,19
9/5/2020,2,14,6,10,113,349,19
10/5/2020,2,14,6,10,184,349,19
11/5/2020,2,14,6,10,184,349,19
12/5/2020,2,14,7,12,184,356,19
13/5/2020,2,14,7,12,184,356,19
14/5/2020,2,14,7,12,215,358,19
15/5/2020,2,14,7,12,216,358,19
16/5/2020,2,14,7,12,216,358,19
17/5/2020,2,14,7,12,216,358,19
18/5/2020,2,14,7,12,216,358,19
19/5/2020,2,14,7,12,216,358,19
20/5/2020,2,14,7,12,216,358,19
21/5/2020,2,14,7,12,216,358,19
22/5/2020,2,14,7,12,216,358,19
23/5/2020,2,14,7,12,272,364,19
24/5/2020,2,14,7,12,272,364,19
25/5/2020,2,14,7,12,272,364,19
26/5/2020,2,14,7,12,272,364,19
27/5/2020,2,14,7,12,272,364,19
28/5/2020,2,14,7,12,272,364,19
29/5/2020,2,14,7,12,272,364,19
30/5/2020,2,14,7,12,272,365,19
31/5/2020,2,14,7,12,272,365,19
,,,,,,,
