date,seberang-perai-tengah,timur-laut,seberang-perai-selatan,barat-daya,seberang-perai-utara
24/3/2020,22,19,9,7,11
25/3/2020,23,20,9,7,11
26/3/2020,23,20,12,8,11
27/3/2020,28,23,9,8,12
28/3/2020,30,26,9,9,12
29/3/2020,30,27,9,9,12
30/3/2020,30,27,10,9,12
31/3/2020,32,27,11,9,15
1/4/2020,34,27,11,9,15
2/4/2020,35,27,11,9,16
3/4/2020,35,27,11,9,16
4/4/2020,36,27,10,9,17
5/4/2020,37,27,10,10,17
6/4/2020,37,27,10,10,17
7/4/2020,37,27,10,11,17
8/4/2020,37,29,11,11,20
9/4/2020,37,29,11,11,20
10/4/2020,38,29,11,11,20
11/4/2020,38,30,11,12,23
12/4/2020,38,32,11,12,23
13/4/2020,38,32,11,12,23
14/4/2020,40,32,11,13,23
15/4/2020,40,32,11,13,23
16/4/2020,40,32,11,13,23
17/4/2020,40,32,11,13,23
18/4/2020,40,32,11,13,23
19/4/2020,40,32,11,13,23
20/4/2020,40,32,11,13,23
21/4/2020,40,32,11,13,23
22/4/2020,40,32,11,13,23
23/4/2020,40,32,11,13,23
24/4/2020,40,32,11,13,23
25/4/2020,40,32,11,13,23
26/4/2020,40,32,11,13,25
27/4/2020,40,32,11,13,25
28/4/2020,40,32,11,13,25
29/4/2020,40,32,11,13,25
30/4/2020,40,32,11,13,25
1/5/2020,40,32,11,13,25
2/5/2020,40,32,11,13,25
3/5/2020,40,32,11,13,25
4/5/2020,40,32,11,13,25
5/5/2020,40,32,11,13,25
6/5/2020,40,32,11,13,25
7/5/2020,40,32,11,13,25
8/5/2020,40,32,11,13,25
9/5/2020,40,32,11,13,25
10/5/2020,40,32,11,13,25
11/5/2020,40,32,11,13,25
12/5/2020,40,32,11,13,25
13/5/2020,40,32,11,13,25
14/5/2020,40,32,11,13,25
15/5/2020,40,32,11,13,25
16/5/2020,40,32,11,13,25
17/5/2020,40,32,11,13,25
18/5/2020,40,32,11,13,25
19/5/2020,40,32,11,13,25
20/5/2020,40,32,11,13,25
21/5/2020,40,32,11,13,25
22/5/2020,40,32,11,13,25
23/5/2020,40,32,11,13,25
24/5/2020,40,32,11,13,25
25/5/2020,40,32,11,13,25
26/5/2020,40,32,11,13,25
27/5/2020,40,32,11,13,25
28/5/2020,40,32,11,13,25
29/5/2020,40,32,11,13,25
30/5/2020,40,32,11,13,25
31/5/2020,40,32,11,13,25
