date,petaling,hulu-langat,gombak,klang,kuala-selangor,sepang,kuala-langat,sabak-bernam,hulu-selangor
24/3/2020,158,103,50,28,17,9,8,0,5
25/3/2020,167,132,53,35,18,9,10,1,7
26/3/2020,176,186,54,44,18,9,12,1,7
27/3/2020,190,202,55,46,18,10,14,1,7
28/3/2020,209,206,57,51,18,11,14,1,9
29/3/2020,223,209,59,62,18,12,15,1,10
30/3/2020,224,258,59,70,18,14,15,1,10
31/3/2020,234,265,62,74,19,17,16,2,12
1/4/2020,242,273,63,76,19,17,16,4,16
2/4/2020,274,287,70,80,26,21,18,6,18
3/4/2020,292,302,76,88,32,22,20,7,24
4/4/2020,308,307,77,88,32,23,20,9,26
5/4/2020,292,318,100,109,29,39,21,10,25
6/4/2020,296,324,110,112,30,39,22,10,27
7/4/2020,306,345,111,123,30,46,22,10,27
8/4/2020,318,361,117,134,30,47,23,13,34
9/4/2020,314,366,121,152,29,59,23,11,43
10/4/2020,328,368,123,159,30,59,23,14,44
11/4/2020,335,378,125,169,31,61,24,15,45
12/4/2020,356,388,132,172,32,66,25,17,48
13/4/2020,346,419,133,164,33,66,25,18,45
14/4/2020,359,433,141,167,35,67,25,23,49
15/4/2020,363,440,142,171,35,68,25,23,49
16/4/2020,366,446,143,172,35,70,25,23,49
17/4/2020,371,445,144,173,35,70,27,23,50
18/4/2020,373,445,144,173,35,70,27,23,50
19/4/2020,375,446,144,173,35,70,27,23,50
20/4/2020,374,446,144,173,35,71,29,23,50
21/4/2020,371,446,144,173,35,71,32,23,50
22/4/2020,372,446,144,173,35,71,32,23,50
23/4/2020,371,456,146,173,35,71,32,23,50
24/4/2020,373,471,146,173,35,71,32,23,50
25/4/2020,372,473,146,173,35,71,32,23,50
26/4/2020,374,473,150,173,35,71,32,23,50
27/4/2020,374,473,150,175,35,71,32,24,50
28/4/2020,376,475,151,175,35,71,32,24,50
29/4/2020,376,477,151,175,35,71,32,24,50
30/4/2020,378,477,163,175,35,71,32,24,50
1/5/2020,379,479,178,176,35,71,32,24,51
2/5/2020,384,479,215,178,48,71,32,24,51
3/5/2020,384,480,225,178,48,71,32,24,51
4/5/2020,384,480,225,178,48,71,32,24,51
5/5/2020,397,480,232,178,48,71,32,24,51
6/5/2020,399,484,232,180,49,71,32,24,52
7/5/2020,400,498,232,180,49,71,32,24,53
8/5/2020,404,498,232,181,49,71,32,24,53
9/5/2020,404,498,232,181,49,71,32,24,53
10/5/2020,413,498,234,181,49,71,32,24,59
11/5/2020,413,498,234,181,49,71,32,24,59
12/5/2020,415,500,234,181,49,71,32,24,61
13/5/2020,415,500,234,181,49,71,32,24,61
14/5/2020,416,501,234,181,49,71,32,26,60
15/5/2020,417,511,235,181,49,72,32,27,60
16/5/2020,417,511,235,181,49,72,32,27,60
17/5/2020,417,511,235,181,49,72,32,27,60
18/5/2020,417,511,235,181,49,72,32,27,60
19/5/2020,417,511,235,181,49,72,32,27,60
20/5/2020,417,511,235,181,49,72,32,27,60
21/5/2020,417,511,235,181,49,72,32,27,60
22/5/2020,417,511,235,181,49,72,32,27,60
23/5/2020,432,511,248,183,60,112,52,27,75
24/5/2020,432,511,248,183,60,112,52,27,75
25/5/2020,432,511,248,183,60,112,52,27,75
26/5/2020,432,511,248,183,60,112,52,27,75
27/5/2020,432,511,248,183,60,112,52,27,75
28/5/2020,432,511,248,183,60,112,52,27,75
29/5/2020,432,511,248,183,60,112,52,27,75
30/5/2020,433,613,248,183,60,112,52,27,75
31/5/2020,433,613,248,183,60,112,52,27,75
