date,total_tests,a,total_recovered,deaths,active_cases,respiratory_aid,inICU
29/03/2020,37674.0,2470,388,34,nan,nan,73
30/03/2020,39663.0,2626,479,37,nan,nan,94
31/03/2020,40483.0,2766,537,43,nan,nan,94
01/04/2020,43462.0,2908,645,45,nan,nan,102
02/04/2020,45378.0,3116,767,50,nan,nan,105
03/04/2020,47723.0,3333,827,53,nan,nan,108
04/04/2020,49570.0,3483,915,57,nan,nan,99
05/04/2020,51937.0,3662,1005,61,nan,nan,99
06/04/2020,55566.0,3793,1241,62,nan,nan,102
07/04/2020,52485.0,3963,1321,63,nan,nan,92
08/04/2020,58240.0,4119,1487,65,nan,nan,76
09/04/2020,63367.0,4228,1608,67,nan,nan,72
10/04/2020,67951.0,4346,1830,70,nan,nan,69
11/04/2020,71897.0,4530,1995,73,nan,nan,72
12/04/2020,77491.0,4683,2108,76,nan,nan,66
13/04/2020,81730.0,4817,2276,77,nan,nan,66
15/04/2020,87183.0,5072,2647,83,nan,nan,56
17/04/2020,96695.0,5251,2967,86,nan,nan,51
18/04/2020,100794.0,5305,3102,88,nan,nan,49
19/04/2020,103892.0,5389,3197,89,nan,nan,46
20/04/2020,108216.0,5425,3295,89,nan,nan,45
22/04/2020,113755.0,5532,3452,93,nan,nan,43
23/04/2020,117406.0,5603,3542,95,nan,nan,42
24/04/2020,121722.0,5691,3663,96,nan,nan,41
25/04/2020,126970.0,5742,3762,98,nan,nan,36
26/04/2020,131491.0,5780,3862,98,nan,nan,36
27/04/2020,138898.0,5820,3957,99,nan,nan,37
28/04/2020,146799.0,5851,4032,100,nan,nan,36
29/04/2020,154203.0,5945,4087,100,nan,nan,40
01/05/2020,168784.0,6071,4210,103,nan,nan,37
02/05/2020,184213.0,6176,4326,103,nan,nan,31
03/05/2020,195833.0,6298,4413,105,nan,nan,27
04/05/2020,205598.0,6353,4484,105,nan,nan,28
05/05/2020,213220.0,6383,4567,106,nan,nan,24
06/05/2020,222150.0,6428,4702,107,nan,nan,22
07/05/2020,231019.0,6467,4776,107,nan,nan,19
08/05/2020,239628.0,6535,4864,107,nan,nan,18
10/05/2020,256937.0,6656,5025,108,nan,nan,18
11/05/2020,266048.0,6726,5113,109,nan,nan,20
16/05/2020,434136.0,6872,5512,113,nan,nan,13
17/05/2020,443263.0,6894,5571,113,nan,nan,13
20/05/2020,nan,7009,5706,114,1189.0,7.0,11
21/05/2020,nan,7059,5796,114,1149.0,7.0,10
22/05/2020,nan,7137,5859,115,1163.0,5.0,9
23/05/2020,nan,7185,5912,115,1158.0,5.0,9
24/05/2020,nan,7245,5945,115,1185.0,4.0,9
25/05/2020,nan,7417,5979,115,1323.0,4.0,8
26/05/2020,nan,7604,6041,115,1448.0,5.0,8
27/05/2020,nan,7619,6083,115,1421.0,4.0,8
28/05/2020,nan,7629,6169,115,1345.0,4.0,8
29/05/2020,nan,7732,6235,115,1382.0,2.0,8
30/05/2020,nan,7762,6330,115,1317.0,2.0,9
31/05/2020,nan,7819,6353,115,1351.0,2.0,9
01/06/2020,nan,115,7857,6404,1338.0,2.0,8
02/06/2020,nan,7877,6470,115,1262.0,2.0,6
03/06/2020,nan,7970,6531,115,1324.0,2.0,6
04/06/2020,nan,7970,6559,115,1573.0,2.0,6
05/06/2020,nan,8266,6610,116,1540.0,1.0,6
06/06/2020,nan,8303,6635,117,1552.0,0.0,5
07/06/2020,nan,8322,6674,117,1531.0,0.0,5
08/06/2020,nan,8329,6694,117,1581.0,1.0,6
09/06/2020,nan,8336,6975,117,1244.0,1.0,6
10/06/2020,nan,8336,7014,118,1206.0,0.0,5
11/06/2020,nan,8369,7065,118,1186.0,0.0,5
12/06/2020,nan,8402,7168,119,1115.0,4.0,0
13/06/2020,nan,8445,7311,120,1014.0,4.0,0
14/06/2020,nan,8453,7346,121,986.0,4.0,0
15/06/2020,nan,8494,7400,121,973.0,4.0,0
16/06/2020,nan,8505,7733,121,651.0,4.0,0
17/06/2020,nan,8515,7873,121,521.0,4.0,0
18/06/2020,nan,8529,8000,121,408.0,4.0,0
19/06/2020,nan,8535,8070,121,344.0,3.0,0
21/06/2020,nan,8572,8156,121,295.0,0.0,3
22/06/2020,nan,8587,8177,121,289.0,0.0,2
23/06/2020,nan,8590,8186,121,283.0,0.0,3
24/06/2020,nan,8596,8231,121,244.0,0.0,2
25/06/2020,nan,8600,8271,121,208.0,0.0,2
26/06/2020,nan,8606,8294,121,191.0,0.0,2
27/06/2020,nan,8616,8308,121,187.0,0.0,2
28/06/2020,nan,8634,8318,121,195.0,0.0,2
29/06/2020,nan,8637,8334,121,182.0,1.0,4
30/06/2020,nan,8639,8354,121,164.0,1.0,4
01/07/2020,nan,8640,8375,121,144.0,2.0,4
02/07/2020,nan,8643,8437,121,85.0,2.0,2
03/07/2020,nan,8648,8446,121,81.0,2.0,2
04/07/2020,nan,8658,8461,121,76.0,2.0,2
05/07/2020,nan,8663,8465,121,77.0,2.0,2
06/07/2020,nan,8668,8476,121,71.0,2.0,2
07/07/2020,nan,8674,8481,121,72.0,2.0,2
08/07/2020,nan,8677,8486,121,70.0,1.0,2
09/07/2020,nan,8683,8499,121,63.0,1.0,2
10/07/2020,nan,8696,8511,121,64.0,2.0,2
11/07/2020,nan,8704,8515,122,67.0,2.0,3
12/07/2020,nan,8718,8519,122,77.0,2.0,3
13/07/2020,nan,8725,8520,122,83.0,3.0,4
14/07/2020,nan,8729,8524,122,83.0,2.0,6
15/07/2020,nan,8734,8526,122,86.0,1.0,5
16/07/2020,nan,8737,8538,122,77.0,1.0,3
17/07/2020,nan,8755,8541,122,92.0,0.0,3
18/07/2020,nan,8764,8546,122,96.0,0.0,1
20/07/2020,nan,8800,8555,123,122.0,1.0,3
21/07/2020,nan,8815,8562,123,130.0,1.0,4
22/07/2020,nan,8831,8566,123,142.0,1.0,5
23/07/2020,nan,8840,8574,123,143.0,2.0,5
24/07/2020,nan,8861,8577,123,161.0,2.0,5
