date,total_tests,total_infected,total_recovered,deaths,active_cases,respiratory_aid
2020-01-22,,0.0,,0.0,,
2020-01-23,,0.0,,0.0,,
2020-01-24,,0.0,,0.0,,
2020-01-25,,3.0,,0.0,,
2020-01-26,,4.0,,0.0,,
2020-01-27,,4.0,,0.0,,
2020-01-28,,4.0,,0.0,,
2020-01-29,,7.0,,0.0,,
2020-01-30,,8.0,,0.0,,
2020-01-31,,8.0,,0.0,,
2020-02-01,,8.0,,0.0,,
2020-02-02,,8.0,,0.0,,
2020-02-03,,8.0,,0.0,,
2020-02-04,,10.0,,0.0,,
2020-02-05,,12.0,,0.0,,
2020-02-06,,12.0,,0.0,,
2020-02-07,,12.0,1.0,0.0,,
2020-02-08,,16.0,1.0,0.0,,
2020-02-09,,16.0,1.0,0.0,,
2020-02-10,,18.0,1.0,0.0,,
2020-02-11,,18.0,3.0,0.0,,
2020-02-12,,18.0,3.0,0.0,,
2020-02-13,,19.0,3.0,0.0,,
2020-02-14,653.0,19.0,3.0,0.0,,
2020-02-15,,22.0,7.0,0.0,,
2020-02-16,656.0,22.0,7.0,0.0,,
2020-02-17,757.0,22.0,7.0,0.0,,
2020-02-18,797.0,22.0,13.0,0.0,,
2020-02-19,,22.0,15.0,0.0,,
2020-02-20,880.0,22.0,15.0,0.0,,
2020-02-21,968.0,22.0,15.0,0.0,,
2020-02-22,,22.0,15.0,0.0,,
2020-02-23,1028.0,22.0,15.0,0.0,,
2020-02-24,1054.0,22.0,18.0,0.0,,
2020-02-25,1067.0,22.0,18.0,0.0,,
2020-02-26,1091.0,22.0,18.0,0.0,,
2020-02-27,1545.0,23.0,18.0,0.0,,
2020-02-28,1548.0,23.0,18.0,0.0,,
2020-02-29,,25.0,18.0,0.0,,
2020-03-01,,29.0,18.0,0.0,,
2020-03-02,1739.0,29.0,18.0,0.0,,
2020-03-03,,36.0,22.0,,,
2020-03-04,1983.0,50.0,22.0,0.0,,
2020-03-05,,50.0,22.0,0.0,,
2020-03-06,,83.0,22.0,0.0,,
2020-03-07,,93.0,23.0,0.0,,
2020-03-08,,99.0,24.0,0.0,,
2020-03-09,2686.0,117.0,24.0,0.0,,
2020-03-10,,129.0,24.0,0.0,,
